ID	current_position	education	gender	geography	open_source	preselect	previous_unconference	prog_bkg	race	reject	research_area	talks	tutorials
1.0	Graduate/Postgraduate student	No	Yes	Others	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	non-astronomy	0.0	0.0
2.0	Graduate/Postgraduate student	No	No	North America	No	0.0	No	release Python code for others to use (e.g. for open-source projects)	Yes	0.0	main sequence & late type stars	0.0	0.0
3.0	Undergraduate/College student	No	No	Western Europe	No	0.0	Yes	program Python heavily (e.g. regularly for my own research)	No	0.0	galaxies and galaxy clusters	0.0	0.0
4.0	Graduate/Postgraduate student	No	No	Western Europe	No	0.0	Yes	program Python a little (e.g. for coursework or simple scripts)	Yes	0.0	exoplanets and planet formation	0.0	0.0
5.0	Postdoc	No		Others	No	0.0	Yes	program Python a little (e.g. for coursework or simple scripts)	Yes	0.0	other	0.0	0.0
6.0	Undergraduate/College student	Yes	No	Western Europe	No	0.0	No	release Python code for others to use (e.g. for open-source projects)	Yes	0.0	non-astronomy	0.0	0.0
7.0	Graduate/Postgraduate student	No	Yes	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	exoplanets and planet formation	0.0	0.0
8.0	Graduate/Postgraduate student	Yes	No	Western Europe	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	main sequence & late type stars	1.0	1.0
9.0	Undergraduate/College student	No	No	Western Europe	Yes	0.0	No	release Python code for others to use (e.g. for open-source projects)	No	0.0	galaxies and galaxy clusters	0.0	0.0
10.0	(Research) Staff	No	Yes	Others	No	0.0	No	release Python code for others to use (e.g. for open-source projects)		0.0	solar and heliospheric physics	0.0	0.0
11.0	Graduate/Postgraduate student	Yes	No	North America	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	compact objects	0.0	0.0
12.0	Undergraduate/College student	No	No	Western Europe	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	cosmology	0.0	0.0
13.0	Graduate/Postgraduate student	No		North America	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	other	0.0	0.0
14.0	Undergraduate/College student	Yes	Yes	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)		0.0	compact objects	1.0	0.0
15.0	Undergraduate/College student	Yes	No	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)	Yes	0.0	solar and heliospheric physics	0.0	0.0
16.0	Graduate/Postgraduate student	Yes	Yes	North America	Yes	0.0	Yes	release Python code for others to use (e.g. for open-source projects)	No	1.0	non-astronomy	0.0	0.0
17.0	Graduate/Postgraduate student	No	No	Others	Yes	0.0	No	release Python code for others to use (e.g. for open-source projects)	No	0.0	main sequence & late type stars	0.0	0.0
18.0	(Research) Staff	No	Yes	Western Europe	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	compact objects	0.0	0.0
19.0	Graduate/Postgraduate student	No		North America	No	0.0	Yes	program Python a little (e.g. for coursework or simple scripts)	No	0.0	main sequence & late type stars	0.0	1.0
20.0	Undergraduate/College student	No	Yes	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)	Yes	0.0	galaxies and galaxy clusters	0.0	0.0
21.0	Postdoc	Yes	No	Western Europe	Yes	0.0	No	release Python code for others to use (e.g. for open-source projects)	No	0.0	cosmology	0.0	0.0
22.0	Postdoc	No		North America	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	galaxies and galaxy clusters	0.0	0.0
23.0	(Research) Staff	Yes	No	Others	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	Yes	0.0	galaxies and galaxy clusters	0.0	1.0
24.0	Teaching Faculty	No	No	North America	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	galaxies and galaxy clusters	0.0	0.0
25.0	(Research) Staff	No	No	Western Europe	No	0.0	Yes	program Python heavily (e.g. regularly for my own research)	No	0.0	exoplanets and planet formation	0.0	0.0
26.0	(Research) Staff	Yes		North America	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	compact objects	0.0	0.0
27.0	Postdoc	Yes	No	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)		0.0	solar and heliospheric physics	0.0	0.0
28.0	Graduate/Postgraduate student	Yes	No	North America	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	galaxies and galaxy clusters	0.0	0.0
29.0	Postdoc	Yes	No	Western Europe	Yes	0.0	Yes	program Python heavily (e.g. regularly for my own research)	No	0.0	compact objects	0.0	0.0
30.0	Graduate/Postgraduate student	Yes	No	North America	No	0.0	Yes	release Python code for others to use (e.g. for open-source projects)	No	0.0	compact objects	0.0	0.0
31.0	Postdoc	No	Yes	Western Europe	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	star formation	0.0	0.0
32.0	Graduate/Postgraduate student	No		Others	Yes	0.0	No	release Python code for others to use (e.g. for open-source projects)		0.0	galaxies and galaxy clusters	0.0	0.0
33.0	Graduate/Postgraduate student	No	No	North America	No	0.0	No	program Python heavily (e.g. regularly for my own research)	Yes	0.0	exoplanets and planet formation	0.0	0.0
34.0	Postdoc	No	No	Others	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	non-astronomy	0.0	0.0
35.0	Teaching Faculty	No	No	Western Europe	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	other	0.0	0.0
36.0	Graduate/Postgraduate student	No	No	Western Europe	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	1.0	exoplanets and planet formation	0.0	0.0
37.0	Undergraduate/College student	No	No	Others	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	gas and dust	0.0	0.0
38.0	(Research) Staff	No		North America	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	main sequence & late type stars	0.0	0.0
39.0	Graduate/Postgraduate student	Yes	No	Western Europe	No	0.0	Yes	program Python heavily (e.g. regularly for my own research)	No	0.0	galaxies and galaxy clusters	0.0	0.0
40.0	Postdoc	Yes	No	North America	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	Yes	0.0	other	1.0	0.0
41.0	Postdoc	Yes	Yes	North America	Yes	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	main sequence & late type stars	0.0	0.0
42.0	Postdoc	Yes	No	Others	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	other	0.0	0.0
43.0	(Research) Staff	Yes	No	Others	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	exoplanets and planet formation	0.0	0.0
44.0	Graduate/Postgraduate student	Yes	No	Others	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)	Yes	0.0	solar and heliospheric physics	0.0	0.0
45.0	(Research) Staff	Yes	No	North America	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	compact objects	0.0	0.0
46.0	Graduate/Postgraduate student	No	No	Others	No	0.0	No	release Python code for others to use (e.g. for open-source projects)	Yes	0.0	compact objects	0.0	0.0
47.0	(Research) Staff	No		Others	No	0.0	Yes	release Python code for others to use (e.g. for open-source projects)	No	0.0	solar and heliospheric physics	1.0	0.0
48.0	Graduate/Postgraduate student	Yes	No	North America	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)		0.0	compact objects	0.0	0.0
49.0	Graduate/Postgraduate student	No	No	Others	No	0.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	non-astronomy	0.0	0.0
50.0	Postdoc	Yes	No	Western Europe	No	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	galaxies and galaxy clusters	1.0	0.0
51.0	(Research) Staff	No	Yes	North America	No	0.0	Yes	release Python code for others to use (e.g. for open-source projects)	No	0.0	galaxies and galaxy clusters	0.0	0.0
52.0	Graduate/Postgraduate student	No		Others	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)	Yes	0.0	main sequence & late type stars	0.0	0.0
53.0	Graduate/Postgraduate student	No	No	Western Europe	Yes	0.0	No	program Python a little (e.g. for coursework or simple scripts)	No	0.0	compact objects	0.0	0.0
54.0	Postdoc	Yes	Yes	Others	Yes	1.0	No	release Python code for others to use (e.g. for open-source projects)		0.0	exoplanets and planet formation	0.0	0.0
55.0	Graduate/Postgraduate student	No	Yes	Others	No	1.0	No	program Python heavily (e.g. regularly for my own research)	No	0.0	supernovae	0.0	0.0
