ID,geo,pos,res,Never used python,python-xp,contrib,release,tests,docs,version,git,branching,gender,race,preselect,reject
1,North America,early-career,solar and heliospheric physics,No,<=3,No,Yes,No,Yes,Yes,No,Yes,No,,0.0,1.0
2,North America,early-career,galaxies and galaxy clusters,No,5,No,No,Yes,Yes,Yes,Yes,Yes,No,No,0.0,0.0
3,other,faculty,galaxies and galaxy clusters,No,5,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1.0,0.0
4,Western Europe,undergraduate,galaxies and galaxy clusters,No,5,Yes,No,No,Yes,Yes,Yes,Yes,No,No,0.0,1.0
5,other,early-career,galaxies and galaxy clusters,No,5,No,Yes,Yes,No,Yes,Yes,Yes,No,No,0.0,0.0
6,Western Europe,early-career,main sequence & late type stars,No,<=3,No,No,No,Yes,Yes,Yes,Yes,No,,0.0,1.0
7,North America,early-career,solar and heliospheric physics,No,<=3,Yes,No,No,No,Yes,Yes,Yes,No,No,0.0,0.0
8,North America,other,galaxies and galaxy clusters,No,5,No,No,Yes,No,Yes,Yes,Yes,No,No,1.0,0.0
9,other,early-career,exoplanets and planet formation,No,<=3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0.0,0.0
10,North America,early-career,other,No,5,Yes,No,No,No,Yes,Yes,No,No,No,0.0,0.0
11,North America,early-career,gas and dust,No,4,No,Yes,No,No,Yes,No,Yes,No,Yes,0.0,1.0
12,Western Europe,early-career,solar and heliospheric physics,No,<=3,No,No,Yes,No,No,Yes,Yes,Yes,No,0.0,0.0
13,other,other,compact objects,No,5,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,0.0,0.0
14,North America,faculty,solar and heliospheric physics,No,5,No,Yes,No,No,Yes,Yes,Yes,Yes,No,0.0,0.0
15,Western Europe,early-career,star formation,Yes,<=3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,0.0,1.0
16,North America,early-career,gas and dust,No,5,No,No,No,No,Yes,Yes,Yes,No,No,0.0,0.0
17,North America,research-staff,solar and heliospheric physics,No,4,No,Yes,Yes,No,No,Yes,Yes,Yes,No,0.0,0.0
18,Western Europe,undergraduate,compact objects,No,5,Yes,No,No,No,Yes,Yes,Yes,,Yes,0.0,0.0
19,North America,faculty,non-astronomy,No,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,0.0,0.0
20,North America,early-career,gas and dust,No,5,Yes,No,No,Yes,Yes,Yes,Yes,No,No,1.0,0.0
21,North America,early-career,gas and dust,No,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,0.0,0.0
22,other,early-career,main sequence & late type stars,No,4,No,No,No,No,Yes,Yes,Yes,No,No,0.0,1.0
23,North America,research-staff,galaxies and galaxy clusters,No,5,No,No,No,Yes,Yes,Yes,Yes,Yes,No,0.0,1.0
24,North America,faculty,galaxies and galaxy clusters,No,5,Yes,No,No,Yes,Yes,Yes,Yes,,No,0.0,0.0
25,Western Europe,research-staff,exoplanets and planet formation,No,5,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.0,0.0
26,Western Europe,faculty,solar and heliospheric physics,No,5,No,No,No,Yes,Yes,Yes,No,Yes,No,0.0,0.0
27,North America,early-career,non-astronomy,No,5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,0.0,0.0
28,other,early-career,exoplanets and planet formation,No,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.0,0.0
29,North America,early-career,main sequence & late type stars,No,5,No,Yes,Yes,No,Yes,Yes,Yes,No,No,0.0,0.0
